V,R,T
4.65786901270772,1132530.12048193,-20.9530710085447
4.58944281524927,1117857.14285714,-21.1628771469253
4.59433040078201,1178750,-21.3746460780355
4.59433040078201,1132530.12048193,-21.3746460780355
4.59921798631476,1132530.12048193,-21.1628771469253
4.59433040078201,1132530.12048193,-20.3349892573697
4.58944281524927,1132530.12048193,-20.9530710085447
4.59433040078201,1132530.12048193,-21.3746460780355
4.59921798631476,1117857.14285714,-20.7451829044706
4.59433040078201,1132530.12048193,-22.2423019843884
4.58944281524927,1132530.12048193,-21.1628771469253
4.58944281524927,1117857.14285714,-21.3746460780355
4.59921798631476,1147560.97560975,-21.1628771469253
4.60899315738025,1132530.12048193,-21.1628771469253
4.59433040078201,1132530.12048193,-21.1628771469253
4.59433040078201,1117857.14285714,-21.3746460780355
4.59921798631476,1132530.12048193,-21.1628771469253
4.59921798631476,1117857.14285714,-20.9530710085447
4.59433040078201,1147560.97560975,-21.1628771469253
4.59433040078201,1162962.96296296,-21.1628771469253
4.59433040078201,1162962.96296296,-21.1628771469253
4.56989247311828,1089534.88372093,-20.9530710085447
4.59433040078201,1132530.12048193,-21.3746460780355
4.59921798631476,1132530.12048193,-21.1628771469253
4.59433040078201,1117857.14285714,-21.3746460780355
4.58944281524927,1132530.12048193,-22.4646144814515
4.59433040078201,1132530.12048193,-21.1628771469253
4.59921798631476,1132530.12048193,-21.1628771469253
4.59921798631476,1178750,-21.1628771469253
4.58944281524927,1132530.12048193,-21.1628771469253
4.59433040078201,1147560.97560975,-21.5884241444479
4.59921798631476,1147560.97560975,-20.9530710085447
4.59433040078201,1132530.12048193,-21.1628771469253
4.59433040078201,1132530.12048193,-21.1628771469253
4.59921798631476,1132530.12048193,-21.1628771469253
4.59921798631476,1132530.12048193,-21.1628771469253
4.59921798631476,1147560.97560975,-21.3746460780355
4.59433040078201,1132530.12048193,-21.3746460780355
4.59921798631476,1132530.12048193,-21.1628771469253
4.58455522971652,1147560.97560975,-21.1628771469253
4.59433040078201,1132530.12048193,-20.9530710085447
4.59921798631476,1147560.97560975,-21.1628771469253
4.59433040078201,1132530.12048193,-21.1628771469253
4.59433040078201,1132530.12048193,-21.1628771469253
4.59921798631476,1117857.14285714,-21.3746460780355
4.62365591397849,1117857.14285714,-21.5884241444479
4.59433040078201,1162962.96296296,-21.1628771469253
4.59433040078201,1194936.70886076,-21.3746460780355
4.56500488758553,1147560.97560975,-21.1628771469253
4.59433040078201,1132530.12048193,-21.1628771469253
4.59433040078201,1147560.97560975,-21.1628771469253
4.59921798631476,1132530.12048193,-21.1628771469253
4.59921798631476,1147560.97560975,-20.9530710085447
4.59433040078201,1147560.97560975,-21.1628771469253
4.59433040078201,1132530.12048193,-21.3746460780355
4.59433040078201,1147560.97560975,-21.3746460780355
4.59433040078201,1062500,-21.8042593494377
4.59433040078201,1162962.96296296,-21.1628771469253
4.59433040078201,1132530.12048193,-20.3349892573697
4.59433040078201,1132530.12048193,-21.1628771469253
4.59433040078201,1194936.70886076,-21.1628771469253
